assignment,duedate,timestamp,student_id,last_name,first_name,email,raw_score,late_submission_penalty,score,max_score
D1_COGS108_Sp23,2023-04-15 07:59:00,2023-04-11 00:32:28.990983,student_0,,,,2.0,0.0,2.0,2.0
D1_COGS108_Sp23,2023-04-15 07:59:00,2023-04-17 03:59:02.156619,student_1,,,,2.0,0.0,2.0,2.0
D1_COGS108_Sp23,2023-04-15 07:59:00,2023-04-13 02:03:02.382628,student_2,,,,2.0,0.0,2.0,2.0
D1_COGS108_Sp23,2023-04-15 07:59:00,2023-04-14 01:23:48.922147,student_3,,,,2.0,0.0,2.0,2.0
D1_COGS108_Sp23,2023-04-15 07:59:00,2023-04-12 00:45:49.963719,student_4,,,,2.0,0.0,2.0,2.0
D2_COGS108_Sp23,2023-04-22 07:59:00,2023-04-22 03:02:37.686546,student_0,,,,2.01,0.0,2.01,2.01
D2_COGS108_Sp23,2023-04-22 07:59:00,2023-04-25 17:02:40.551121,student_1,,,,2.01,0.0,2.01,2.01
D2_COGS108_Sp23,2023-04-22 07:59:00,2023-04-20 19:26:30.010144,student_2,,,,2.01,0.0,2.01,2.01
D2_COGS108_Sp23,2023-04-22 07:59:00,2023-04-20 23:35:21.856267,student_3,,,,2.01,0.0,2.01,2.01
D2_COGS108_Sp23,2023-04-22 07:59:00,2023-04-19 23:45:02.625221,student_4,,,,2.01,0.0,2.01,2.01
A1_COGS108_Sp23,2023-04-20 07:59:00,2023-04-20 06:34:36.396824,student_0,,,,5.35,0.0,5.35,8.0
A1_COGS108_Sp23,2023-04-20 07:59:00,2023-04-27 07:51:13.430210,student_1,,,,5.5,0.0,5.5,8.0
A1_COGS108_Sp23,2023-04-20 07:59:00,2023-04-19 22:09:38.087746,student_2,,,,5.5,0.0,5.5,8.0
A1_COGS108_Sp23,2023-04-20 07:59:00,2023-04-20 02:45:14.895829,student_3,,,,5.1,0.0,5.1,8.0
A1_COGS108_Sp23,2023-04-20 07:59:00,2023-04-20 05:50:33.983103,student_4,,,,5.5,0.0,5.5,8.0
